address,amount
0xbcdd7068813522ec00aba126105a62ba5afd14f0,35418598925206149
0xab89e4a92afcb9954fda95fdfd11dabc792bf919,35418598925206149
0xe0203c6964943fd491459750802444844ec4c3ac,35418598925206149
0xa8f26442bafd363e30d65c98d1ea794b58cbd529,35418598925206149
0xd56a853b1afeafb7eace41f06d59175312335af5,35418598925206149
0x3083d29102f5447a00cde3c3b28b39650cd131ef,35418598925206149
0xfd6cfdbfc9ee3218ebaf061ba04b7a3aec33c539,38960469439620564
0xda1dc47fc861c0e3f79a71f4edc94b0ab85c2cbb,44933124962248380
0x3a68e7285857030c7bac691e18cb3dcfb7ab5031,35418598925206149
0xa8ea179454f50083cfe79911dbb3b3e91f047979,35951570153810970
0x984dde4862ff0681c6ac7f2b86cbbc404426b858,46044210468449634
0x7379e6927ebece670cba86d31c9efb8cee11daed,84532324287209550
0x19f126c87f36339972e6d9378f102f7edeb6f02d,35418598925206149
0x1a258f501e1e36e0a7f7b8f3d75042ab1172a028,710683515050372046
0x91f6b278c220de5e6b36012116e2fbecd30bb618,70837233256725166
0xe799b5b066a0038c479f37b55b75410e604d31c6,393146600316933648
0xc0fcf8403e10b65f1d18f1b81b093004b1127275,91962657713355403
0xab6a56ddb7d7060f1ba3b2134f3af9ad551e132e,35418598925206149
0x4f74278c7a62898cd198e2441c436c72554fad81,35418598925206149
0xcfc6311963155d645aa215be71352d5ffbe9c4d6,35418598925206149
0x071035bb1d9c43ce0190d1d040af9a47b8e40d9d,42502339954035099
0x5ac9d8faaf7e926c3f31a370f159c27d4d6da82e,356513175388627918
0xdfb27231979a3367579794001c006f6d3875d16f,35418598925206149
0x2e16cf2940b197fdc42b24db066f07275804be09,35418598925206149
0x6cab60cd9a02d9ed9398e6b9389a1e4ba7266006,35418598925206149
0xf69bf4c17687880347b7999066837bd00834f029,38960469439620564
0x3c496d97c4d59eedcec93f44eacd104619159a67,70837197850412299
0x7bbc90dee421298e3c9b65a22d16927101d5b504,167285764599957876
0xde73af7a0f430739259db7772e153f8f1a7329a6,35418598925206149
0x01d7b4a645131fe75260ab192d80d80778b28637,69667833553120608
0xf81d02a2797afd51c71225b07076f87b29bca025,69589443976283369
0x412ad841e784aa4d7cf95529088be05a94c30148,177093065438656482
0xfde76d38dbbea54251ea4107ea547a75a0b98f3d,177093065438656482
0x0f8a2298bb31e3399083b398f945fe1bb1deebeb,35489765614204749
0x7a558b543f18ce7257bd469e24bbb31e5ec4f1e8,181613708067835544
0x006c77e68d2ce85db549bac376b4c7283a332447,177099863450740005
0x7d9f7203364d042bc145039b57aa9fe56cf5ae6f,70837197850412299
0xec561dd73346f761d1c09f46999bc8ea1b1e95a2,41784052083530509
0x69394d9fb0cf4edab537804d8eb1639b07471ec4,35503857326752644
0x9c4ba65e85a1458218b1f7a290b8fbcb12e87a96,76397936328358707
0x17e7ba86f839cd9b645d7269221abac81b48543b,53127916090965717
0x7ef249794127119d332aa275f94f96c2f32466e0,35516993068851470
0xa0cc04b4356b7b8db816030e8bf1977bbd75ecfd,35418598925206149
0x587dde483bd75255585e23ed664e0564918e5e9d,53127916090965717
0x34de2b5d825c823b3d57cd333409cd9d852cc2c9,70837233256725166
0x9914496decf95a5fbf391f51c52236ad6f2a4d98,69659690101145646
0x6b87616d8fe9eb216975d464f13a82f72114af2f,56382783032732119
0x94fb274bfc151386e9b5b067402f0d2dfaca43f0,35418598925206149
0x559dfd50887190b82f5ec3b1060aba63b8abe54b,45931299736501064
0x34c7d0638dab854c7246623575b7839031b4fef6,35418598925206149
0xa4d3316b09125c0d1bbfe757f43d3aae4e4e9d8f,35418598925206149
0x666b28943e42347171a260fed154032083965682,35418598925206149
0xca6570eb6dd057e05f000815f9fe3fbe0b6798a5,35418598925206149
0xf68cca2acb3c59371c28db60c6cec55119d03c34,35418598925206149
0x8481f52600269f7b32a0855a98ff22880a426228,35418598925206149
0x6858a1e8a94d94349ff7d3bdbc15512972b5aaaf,35418598925206149
0x2c32c167ac5205618d831e83517571955f31ead8,35418598925206149
0xf7d36a57cbe154fd3d9134cac44ab49019180e12,35418598925206149
0x4f447f8fa916e9dc60497256dcae48b852b17893,35418598925206149
0x489d69939b4aca357f630055e351a81f1fbb7fb6,207872410586352609
0x51fb007343726cc4148a8adc9b755179f41d10ba,177093065438656482
0xb6b8fc4ec3f004693d5a54b594184c09a0ef78f9,52234756440876947
0x991bb5915bc51bf410422be6d8bc20eec2e3b0a9,106255832181931315
0x1b274eacc333f4a904d72b576b55a108532ab379,70837233256725166
0x79cb3f33117fbd53ef59fe86b2287607c9e1d874,35418598925206149
0x2c3b3338543ec85a98f4cfae089d1821453bb62f,35418598925206149
0x861778d1de9311c50092036ca6ecd440a8ce7556,49541469028566510
0x57e48340322c651cfb7a5e4879fdf824af71a55c,35418598925206149
0xcfb421ad5b6026c01af5fc6fc547373d9b4af309,70837197850412299
0xd35ed19f65d79a297ee81387e35b6cec7da1761f,35418598925206149
0x15188dbaab1d1e378352e3fbafeab3c981ff213b,35418598925206149
0xf39d34e302f060d1486f001cad3be99ace32efc8,35418598925206149
0x193e27a06adeecfa285537caff3c772a1291d457,35418598925206149
0x7e5ff7954793a1434ebaf789d21e5aa1352f5238,38960469439620564
0xe5d71ddf0dd88f2d7eecfe0a962f3dfe7023cf5c,35530659905644249
0xeaae26a328d9f87545937724d236b9880ebdd731,35418598925206149
0xcdb2de3c7e3523f943904bdaab94e316853601ee,35418598925206149
0xd8f2dcb338c8d91b5d6be6258d118287382fb802,35418598925206149
0xa38ffe16cc95966389810970927784ca89db1085,354186095471000097
0x1aa3ef5c8873c1036a64cc6ebe76763dc5fbabb3,35418598925206149
0xcc4f1cb6064a69ac83a5133ffcf09217ae33c2cf,44377741537556012
0x73064f6c1c5dad8d917782aec16ab564feb3c011,40653988793596335
0xfd73d18cf5372084ebe4a6d40f19b88019317f28,44377812350181864
0x7979ef804237e4723317193ea64007485a7e4748,77920938879241249
0xaaa2b5e58f3c1a623d0b6128f94a4a52b96cc880,77920938879241249
0x18d234ab0183cf8efda1e20a7992d1c93ac2cfc6,38960469439620564
0x94520e2f86afd790263715f727d0d35f533f2a36,50027526892532925
0x9320c38a825b31ce35e918af33019095e36ae664,38960469439620564
0x5725acf7cb10cc79987fec761ef4a4259cd0951e,35418598925206149
0x751d24fd98aa661accd721c1045b3649f76a2e4d,35418598925206149
0x3e3621e3a8a9cbcb64c4c122321d35bd26c1dff4,35418598925206149
0xcf56c1a8399777fc21beaabe3fb3d017d3e86238,35418598925206149
0x9cb7bcec3664fac3830bfca64ae61fece75bfdef,35418598925206149
0xd7477c0569ce93e1b397a5a5fa16158381e86d55,35418598925206149
0x5cab92c1342c42d96e73171d2bedbb846198bd0c,35418598925206149
0x067e0026ee93882f7ee645e9bed26284e6ef5183,35418598925206149
0x1dd85c190c50eea63275d92761c6d55a9ec6022e,35418598925206149
0xad511b7db57735a1f7f26f42ac5f75a0d5681fbd,35418598925206149
0xbc3dad9053ad9897c965e54150dac2c7fbea4dc3,35418598925206149
0x932fcb9e4bc705fa9a2f16c3b916b8d099f4bae1,35418598925206149
0xb5931e98de8446e7d27bc08774156cea934c2183,40264731789193139
0x8aa4243ef5fe3d6ebe375fa6d47a710266cb0caf,75413570016150389
0x73e98d816da09e3bdf9479162c61947284b53eb3,35418598925206149
0x1723c564c0f614c76363227d781f1ba6e1cad042,53859764579324248
0xe7bad1f45236ec0f92f0d678ebd5b93f62f42f4b,40553399458549106
0x96efdc17e409477660ea18011665e3228d02f179,354186095471000097
0xb4e97e24739bae193a7ef041f110dde8e7fef754,133952739131852529
0xa1ad2124f67a9f56fe9f85a605f82825dc2612df,35418598925206149
0x386ff2d21c0650f96b6d2a8ca0daa9ce0a7f30a2,35418598925206149
0x5d280e9b02e871db5ce85b9be186b30253ba3685,36312325076301740
0x323bfe9f384e88111e83f37ed7a854d0cc5f99d7,46044210468449634
0xf55c02b021f91752521c0cb74303565f25baccb1,35418598925206149
0x2360d331a8d59ac079bcb516de782d3906a7e950,35418598925206149
0x5f1f6c7ae6944ef82966365946c1eeb2ea7a9505,36310483948029094
0x6637b4b8fc4102135340509e294beeebf4793fa7,35418598925206149
0x2787e5350faa67fd1be6d1e7d73c0215e8bb9359,35418598925206149
0x34f73a47a027bc3c1db642df9ca54625d9b6b77f,35418598925206149
0x037be2500fae074adbf7bc267c89d8974e633d65,35418598925206149
0x73f61e66345b8f78951508e8f1cd0ab51e1d9b6b,35418598925206149
0x4639b83faed52e978e0b5d9a4b0f3f7d1b17d33f,35418598925206149
0x536f181ce2d31c6589a04bc0f230cc7fb4b41d52,38960469439620564
0xbe13517a2b520b2449068d2ec45280992b04047b,35418598925206149
0x38f0e547f6f617967b88043dd77195514ef85eda,35418598925206149
0xe062b7bea76f8e4ed7d54ff5565b7784b9a1eb44,35418598925206149
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,70837197850412299
0x38c6be8dda4914424226ffa8ffcddf2142c3f6b3,35418598925206149
0x184127f1e4148f0b18b0b753b32d9a4563c81ef7,35418598925206149
0x317ad090e2a44b9cc617c4e8680dbcb61b75b98b,35418598925206149
0x17369d094c735225f1a36813cb1298170f28c129,35418598925206149
0x79bdda65c706cbda69c0ad4c8da1d3e91724f48d,35418598925206149
0x46885051db042ed7640de655e286c37bc102d197,35418598925206149
0x4efa859a120a893d4c34637b5d00262e45bdd76b,37171282228095575
