address,amount
0xb5931e98de8446e7d27bc08774156cea934c2183,1250062415786593868
0x8aa4243ef5fe3d6ebe375fa6d47a710266cb0caf,2341296348651761279
0x73e98d816da09e3bdf9479162c61947284b53eb3,1099608947304672652
0x1723c564c0f614c76363227d781f1ba6e1cad042,1672135003313192809
0xe7bad1f45236ec0f92f0d678ebd5b93f62f42f4b,1259024417719299091
0x96efdc17e409477660ea18011665e3228d02f179,10996092770729266252
0xb4e97e24739bae193a7ef041f110dde8e7fef754,4158708558077060446
0xa1ad2124f67a9f56fe9f85a605f82825dc2612df,1099608947304672652
0x386ff2d21c0650f96b6d2a8ca0daa9ce0a7f30a2,1099608947304672652
0x5d280e9b02e871db5ce85b9be186b30253ba3685,1127355648247309096
0x323bfe9f384e88111e83f37ed7a854d0cc5f99d7,1429492620800838222
0xf55c02b021f91752521c0cb74303565f25baccb1,1099608947304672652
0x2360d331a8d59ac079bcb516de782d3906a7e950,1099608947304672652
0x5f1f6c7ae6944ef82966365946c1eeb2ea7a9505,1127298488416509122
0x6637b4b8fc4102135340509e294beeebf4793fa7,1099608947304672652
0x2787e5350faa67fd1be6d1e7d73c0215e8bb9359,1099608947304672652
0x34f73a47a027bc3c1db642df9ca54625d9b6b77f,1099608947304672652
0x037be2500fae074adbf7bc267c89d8974e633d65,1099608947304672652
0x73f61e66345b8f78951508e8f1cd0ab51e1d9b6b,1099608947304672652
0x4639b83faed52e978e0b5d9a4b0f3f7d1b17d33f,1099608947304672652
0x536f181ce2d31c6589a04bc0f230cc7fb4b41d52,1209570171803392034
0xbe13517a2b520b2449068d2ec45280992b04047b,1099608947304672652
0x38f0e547f6f617967b88043dd77195514ef85eda,1099608947304672652
0xe062b7bea76f8e4ed7d54ff5565b7784b9a1eb44,1099608947304672652
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,2199217894609345304
0x38c6be8dda4914424226ffa8ffcddf2142c3f6b3,1099608947304672652
0x184127f1e4148f0b18b0b753b32d9a4563c81ef7,1099608947304672652
0x317ad090e2a44b9cc617c4e8680dbcb61b75b98b,1099608947304672652
0x17369d094c735225f1a36813cb1298170f28c129,1099608947304672652
0x79bdda65c706cbda69c0ad4c8da1d3e91724f48d,1099608947304672652
0x46885051db042ed7640de655e286c37bc102d197,1099608947304672652
0x4efa859a120a893d4c34637b5d00262e45bdd76b,1154022907769866325
0x9dbeeda68b1246eb70fdd9ceaf1b3b2d508e6391,2199218993836858547
0x8c988d5344337bf304bfe89724cd70c0e0f08271,1099608947304672652
0xaa0b1d07370d3b5464df6100b663c12a8f677712,1099608947304672652
0x3c6e78a279ca78088a939d80968feffcd517190a,1272166781892906010
0xdd6889900fcec94b0d658de4350d4e2488beb98a,1099608947304672652
0x914b98426333fe919c86672ec7189feb23339858,1099608947304672652
0x83bbe9cfcc205bb8e53cba0b51d6db9386ce58b5,1099608947304672652
0xa300b9cf9199d7a087d426c4cb96c5c3692f219f,1099608947304672652
0x6544df975cf58a0b2c9a361a8db2e00d338e10c1,10996092770729266252
0xb6bd1b9b3e6e3512bb354789289f6d8fbc0f65bc,1099608947304672652
0x9c33357c831628b5de9e745bca84d29a76e415c7,2199217894609345304
0x8f70f795ca5ca5cf8ffc2e9d1b8b621c2420df8d,1099608947304672652
0x6b5add7111100efa6aeee0e1ba676b6218ecabda,1099608947304672652
0x696d181a7961ee66c42f1ebeddc0b48b106c45ad,5498046934978389747
0x38552e767c9770505a2638f4a525071305b93bbe,1099608947304672652
0x11590b8b4f62e52f5081f5c9c416cd3b01866988,1099608947304672652
